R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
12.73,-5.45,11.82,20.91,36.36,25.45,-1.82,80.91,19.09,0.44,1.1,19.1,80.9,37.38,8.41,17.76,12.15,0.0,12.15,12.15,75.7,24.3,0.66,1.07,63.55,36.45
14.71,-5.88,18.63,12.75,32.35,28.43,-0.98,88.24,11.77,0.41,1.02,27.46,72.55,33.0,10.0,19.0,11.0,0.0,15.0,12.0,77.0,23.0,0.61,1.0,62.0,38.0
12.0,-4.0,19.0,12.0,34.0,28.0,-1.0,89.0,11.0,0.39,1.0,27.0,73.0,35.05,9.28,19.59,11.34,0.0,12.37,12.37,76.29,23.71,0.61,0.97,63.92,36.08
12.9,-6.45,19.35,12.9,34.41,30.11,-3.23,90.32,9.67,0.36,0.93,25.8,74.19,32.99,9.28,19.59,11.34,0.0,6.19,20.62,68.05,31.96,0.57,0.97,61.86,38.15
14.29,-8.16,14.29,20.41,31.63,29.59,-2.04,81.64,18.37,0.4,0.98,20.42,79.59,32.29,9.38,20.83,11.46,0.0,13.54,12.5,76.04,23.96,0.58,0.96,62.5,37.5
13.54,-6.25,19.79,12.5,32.29,29.17,-1.04,88.54,11.46,0.38,0.96,27.08,72.92,32.63,9.47,20.0,12.63,0.0,12.63,12.63,74.73,25.26,0.58,0.95,62.1,37.89
13.68,-8.42,21.05,12.63,33.68,29.47,-2.11,89.46,10.52,0.37,0.95,26.31,73.67,33.33,9.38,19.79,12.5,0.0,12.5,12.5,75.0,25.0,0.58,0.96,62.5,37.5
14.58,-9.38,21.88,12.5,34.38,30.21,-4.17,91.67,8.33,0.38,0.96,27.08,72.92,34.02,9.28,20.62,11.34,0.0,6.19,18.56,70.11,29.9,0.58,0.97,63.92,36.09
15.0,-9.0,15.0,18.0,32.0,30.0,-1.0,83.0,17.0,0.39,1.0,21.0,79.0,32.65,9.18,21.43,12.24,0.0,12.24,12.24,75.5,24.48,0.61,0.98,63.26,36.72
13.4,-7.22,19.59,12.37,34.02,30.93,-3.09,90.72,9.28,0.37,0.97,25.77,74.23,33.67,9.18,21.43,11.22,0.0,11.22,13.27,75.5,24.49,0.6,0.98,64.28,35.71
14.0,-8.0,19.0,13.0,35.0,31.0,-4.0,91.0,9.0,0.38,1.0,25.0,75.0,34.31,8.82,21.57,11.76,0.0,3.92,19.61,68.62,31.37,0.62,1.02,64.7,35.29
15.09,-9.43,13.21,18.87,35.85,23.58,2.83,78.3,21.7,0.4,1.06,18.87,81.13,35.51,7.48,15.89,14.02,0.0,9.35,17.76,68.23,31.78,0.66,1.07,58.88,41.13
11.65,-2.91,12.62,18.45,34.95,26.21,-0.97,82.52,17.48,0.41,1.03,21.36,78.64,36.0,9.0,18.0,13.0,0.0,13.0,11.0,76.0,24.0,0.62,1.0,63.0,37.0
