Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
31392,31401,31414,31433,31445,31590,31482,31336,31347,31362,31375,31392,31430,31433
31500,31509,31522,31541,31552,31695,31588,31445,31454,31470,31482,31500,31538,31541
31604,31610,31624,31644,31656,31804,31692,31552,31561,31575,31588,31604,31641,31644
31713,31723,31737,31755,31768,31912,31801,31656,31662,31677,31692,31713,31753,31755
31819,31828,31842,31859,31873,32023,31911,31768,31774,31788,31801,31819,31858,31859
31928,31939,31952,31971,31984,32129,32022,31873,31882,31895,31911,31928,31969,31971
32039,32048,32062,32079,32091,32236,32127,31984,31993,32006,32022,32039,32077,32079
32145,32153,32167,32185,32198,32344,32234,32091,32099,32113,32127,32145,32183,32185
32253,32263,32276,32295,32307,32453,32342,32198,32205,32219,32234,32253,32292,32295
32359,32370,32382,32400,32414,32559,32452,32307,32315,32329,32342,32359,32399,32400
32470,32478,32490,32508,32520,32662,32556,32414,32422,32436,32452,32470,32506,32508
32574,32582,32595,32613,32624,32769,32660,32520,32529,32543,32556,32574,32610,32613
32677,32686,32700,32719,32731,32876,32768,32624,32632,32647,32660,32677,32716,32719
32785,32796,32809,32828,32838,32981,32873,32731,32738,32753,32768,32785,32824,32828
32892,32900,32913,32931,32944,33090,32978,32838,32845,32860,32873,32892,32929,32931
32998,33005,33019,33037,33049,33192,33089,32944,32950,32964,32978,32998,33035,33037
33105,33113,33126,33147,33158,33298,33190,33049,33059,33074,33089,33105,33143,33147
33208,33217,33230,33249,33259,33404,33295,33158,33162,33176,33190,33208,33245,33249
33314,33322,33335,33353,33365,33512,33402,33259,33267,33281,33295,33314,33351,33353
33421,33429,33442,33460,33473,33620,33509,33365,33373,33387,33402,33421,33458,33460
33527,33535,33549,33565,33579,33737,33618,33473,33481,33496,33509,33527,33565,33565
33635,33650,33666,33679,33700,33850,33739,33579,33588,33605,33618,33635,33684,33679
33755,33769,33786,33798,33812,33951,33849,33700,33711,33719,33739,33755,33800,33798
33865,33874,33887,33902,33915,34052,33950,33812,33822,33835,33849,33865,33902,33902
33966,33972,33985,34004,34015,34155,34050,33915,33920,33935,33950,33966,34001,34004
34067,34074,34086,34105,34119,34258,34152,34015,34022,34036,34050,34067,34103,34105
34170,34177,34191,34209,34221,34359,34255,34119,34125,34139,34152,34170,34207,34209
34273,34280,34294,34311,34323,34462,34358,34221,34228,34242,34255,34273,34309,34311
34374,34381,34394,34412,34424,34566,34458,34323,34330,34344,34358,34374,34410,34412
34476,34485,34498,34514,34526,34671,34564,34424,34431,34447,34458,34476,34513,34514
34581,34589,34601,34621,34633,34771,34671,34526,34534,34550,34564,34581,34618,34621
34685,34692,34705,34721,34734,34871,34767,34633,34641,34657,34671,34685,34720,34721
34785,34792,34806,34822,34835,34979,34867,34734,34742,34756,34767,34785,34821,34822
34887,34895,34910,34926,34939,35079,34976,34835,34840,34855,34867,34887,34925,34926
34994,35001,35013,35035,35044,35178,35078,34939,34948,34963,34976,34994,35029,35035
35094,35101,35113,35135,35144,35282,35176,35044,35052,35064,35078,35094,35129,35135
35193,35202,35215,35233,35245,35386,35280,35144,35147,35162,35176,35193,35231,35233
35297,35308,35322,35339,35351,35488,35383,35245,35252,35267,35280,35297,35337,35339
