R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
7.77,14.56,15.53,11.65,7.77,30.1,12.62,75.73,24.27,0.51,1.03,37.86,62.14,4.95,12.87,18.81,12.87,7.92,30.69,11.88,75.24,24.75,0.5,1.01,36.63,63.36
5.94,11.88,18.81,11.88,6.93,31.68,12.87,75.24,24.75,0.49,1.01,36.63,63.36,7.92,12.87,17.82,12.87,5.94,30.69,11.88,75.24,24.75,0.52,1.01,38.61,61.38
6.86,12.75,18.63,11.76,5.88,30.39,13.73,74.51,25.49,0.51,1.02,38.24,61.76,6.8,12.62,18.45,12.62,6.8,31.07,11.65,75.74,24.27,0.52,1.03,37.87,62.14
8.49,13.21,16.98,11.32,6.6,29.25,14.15,74.53,25.47,0.53,1.06,38.68,61.32,5.77,12.5,17.31,13.46,8.65,30.77,11.54,75.0,25.0,0.51,1.04,35.58,64.42
9.35,12.15,17.76,12.15,4.67,30.84,13.08,74.77,25.23,0.55,1.07,39.26,60.74,6.48,12.04,16.67,13.89,9.26,29.63,12.04,74.08,25.93,0.53,1.08,35.19,64.82
8.65,11.54,18.27,11.54,6.73,30.77,12.5,75.96,24.04,0.52,1.04,38.46,61.54,4.81,12.5,19.23,13.46,8.65,29.81,11.54,75.0,25.0,0.52,1.04,36.54,63.46
8.82,13.73,15.69,12.75,5.88,32.35,10.78,76.47,23.53,0.52,1.02,38.24,61.76,6.73,12.5,18.27,12.5,8.65,28.85,12.5,75.0,25.0,0.52,1.04,37.5,62.5
6.6,13.21,16.98,12.26,6.6,33.02,11.32,76.41,23.58,0.52,1.06,36.79,63.2,5.88,11.76,20.59,10.78,6.86,31.37,12.75,76.46,23.53,0.5,1.02,38.23,61.76
9.52,12.38,17.14,12.38,4.76,31.43,12.38,75.23,24.76,0.54,1.05,39.04,60.95,6.48,12.04,20.37,11.11,9.26,28.7,12.04,76.85,23.15,0.54,1.08,38.89,61.11
7.62,10.48,20.0,10.48,7.62,30.48,13.33,76.2,23.81,0.51,1.05,38.1,61.91,4.9,10.78,21.57,12.75,7.84,31.37,10.78,76.46,23.53,0.51,1.02,37.25,62.74
7.77,12.62,17.48,11.65,5.83,31.07,13.59,74.77,25.24,0.51,1.03,37.87,62.14,7.62,13.33,17.14,13.33,7.62,29.52,11.43,75.23,24.76,0.54,1.05,38.09,61.9
7.69,13.46,16.35,12.5,5.77,30.77,13.46,74.04,25.96,0.52,1.04,37.5,62.5,5.77,12.5,18.27,13.46,7.69,29.81,12.5,74.04,25.96,0.52,1.04,36.54,63.46
8.65,12.5,17.31,12.5,4.81,30.77,13.46,74.04,25.96,0.53,1.04,38.46,61.54,5.71,12.38,18.1,13.33,8.57,29.52,12.38,74.28,25.71,0.52,1.05,36.19,63.8
8.49,13.21,16.04,11.32,7.55,29.25,14.15,74.54,25.47,0.52,1.06,37.74,62.27,4.85,13.59,17.48,13.59,8.74,30.1,11.65,74.76,25.24,0.51,1.03,35.92,64.08
5.94,12.87,16.83,12.87,6.93,31.68,12.87,74.25,25.74,0.49,1.01,35.64,64.35,7.77,13.59,16.5,14.56,5.83,29.13,12.62,72.82,27.18,0.54,1.03,37.86,62.14
7.84,11.76,20.59,10.78,4.9,30.39,13.73,75.48,24.51,0.52,1.02,40.19,59.8,6.73,12.5,18.27,12.5,7.69,31.73,10.58,76.92,23.08,0.52,1.04,37.5,62.5
8.33,12.96,17.59,12.04,5.56,31.48,12.04,75.92,24.08,0.55,1.08,38.88,61.12,4.76,12.38,17.14,13.33,8.57,31.43,12.38,74.28,25.71,0.5,1.05,34.28,65.71
8.91,11.88,18.81,10.89,7.92,29.7,11.88,77.22,22.77,0.51,1.01,39.6,60.39,5.77,12.5,20.19,12.5,8.65,29.81,10.58,76.92,23.08,0.53,1.04,38.46,61.54
4.9,14.71,17.65,11.76,6.86,31.37,12.75,75.49,24.51,0.5,1.02,37.26,62.74,8.0,12.0,18.0,12.0,5.0,33.0,12.0,76.0,24.0,0.5,1.0,38.0,62.0
5.83,12.62,19.42,10.68,5.83,32.04,13.59,75.74,24.27,0.5,1.03,37.87,62.14,6.86,13.73,17.65,12.75,5.88,32.35,10.78,76.47,23.53,0.52,1.02,38.24,61.76
8.26,11.93,17.43,12.84,6.42,29.36,13.76,73.4,26.6,0.55,1.09,37.62,62.38,5.56,12.96,17.59,12.96,8.33,29.63,12.96,74.07,25.92,0.53,1.08,36.11,63.88
8.65,13.46,16.35,10.58,5.77,29.81,15.38,74.04,25.96,0.51,1.04,38.46,61.54,6.67,13.33,17.14,14.29,8.57,29.52,10.48,75.23,24.77,0.54,1.05,37.14,62.86
8.26,14.05,14.05,14.88,4.96,22.31,21.49,63.63,36.37,0.62,1.21,36.36,63.64,5.22,11.3,15.65,13.91,8.7,29.57,15.65,70.44,29.56,0.53,1.15,32.17,67.83
2.86,14.29,14.29,16.19,9.52,28.57,14.29,69.53,30.48,0.5,1.05,31.44,68.57,5.5,11.01,13.76,23.85,2.75,27.52,15.6,60.54,39.45,0.59,1.09,30.27,69.72
8.91,12.87,16.83,12.87,4.95,31.68,11.88,75.24,24.75,0.52,1.01,38.61,61.38,9.35,11.21,16.82,14.02,8.41,28.04,12.15,73.83,26.17,0.55,1.07,37.38,62.62
7.84,11.76,17.65,10.78,5.88,30.39,15.69,73.52,26.47,0.49,1.02,37.25,62.74,5.1,13.27,19.39,12.24,8.16,30.61,11.22,76.53,23.46,0.49,0.98,37.76,62.23
5.0,13.0,18.0,11.0,7.0,34.0,12.0,77.0,23.0,0.47,1.0,36.0,64.0,6.0,13.0,18.0,16.0,5.0,31.0,11.0,73.0,27.0,0.53,1.0,37.0,63.0
6.86,12.75,18.63,10.78,6.86,33.33,10.78,78.43,21.56,0.5,1.02,38.24,61.75,6.8,12.62,20.39,11.65,6.8,31.07,10.68,77.68,22.33,0.53,1.03,39.81,60.2
6.93,12.87,17.82,10.89,7.92,31.68,11.88,77.22,22.77,0.49,1.01,37.62,62.37,6.93,11.88,21.78,10.89,6.93,30.69,10.89,78.21,21.78,0.52,1.01,40.59,59.4
5.71,12.38,16.19,10.48,7.62,35.24,12.38,77.14,22.86,0.47,1.05,34.28,65.72,8.08,13.13,19.19,12.12,6.06,30.3,11.11,76.76,23.23,0.52,0.99,40.4,59.59
