R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
6.67,9.52,20.95,10.48,3.81,36.19,12.38,77.14,22.86,0.5,1.05,37.14,62.86,3.85,13.46,23.08,12.5,5.77,32.69,8.65,78.85,21.15,0.55,1.04,40.39,59.61
5.83,10.68,22.33,8.74,4.85,35.92,11.65,79.61,20.39,0.49,1.03,38.84,61.16,4.76,12.38,22.86,11.43,6.67,32.38,9.52,79.05,20.95,0.54,1.05,40.0,60.0
6.6,10.38,21.7,9.43,3.77,36.79,11.32,79.24,20.75,0.51,1.06,38.68,61.31,3.7,12.04,24.07,11.11,7.41,30.56,11.11,77.78,22.22,0.55,1.08,39.81,60.19
6.84,8.55,19.66,10.26,7.69,28.21,18.8,70.95,29.06,0.53,1.17,35.05,64.96,7.56,10.08,17.65,18.49,6.72,29.41,10.08,71.42,28.57,0.64,1.19,35.29,64.7
7.08,8.85,22.12,10.62,7.08,30.97,13.27,76.1,23.89,0.55,1.13,38.05,61.94,7.55,13.21,19.81,14.15,5.66,32.08,7.55,78.31,21.7,0.58,1.06,40.57,59.44
5.83,9.71,23.3,7.77,6.8,33.01,13.59,78.65,21.36,0.48,1.03,38.84,61.17,6.67,12.38,20.0,13.33,6.67,31.43,9.52,77.15,22.85,0.55,1.05,39.05,60.95
6.67,9.52,21.9,9.52,4.76,36.19,11.43,79.04,20.95,0.5,1.05,38.09,61.9,4.81,13.46,23.08,11.54,5.77,32.69,8.65,79.81,20.19,0.55,1.04,41.35,58.65
5.77,10.58,22.12,8.65,3.85,35.58,13.46,77.9,22.11,0.49,1.04,38.47,61.54,3.81,13.33,21.9,13.33,6.67,31.43,9.52,77.14,22.85,0.55,1.05,39.04,60.95
6.73,8.65,23.08,9.62,4.81,35.58,11.54,78.85,21.16,0.5,1.04,38.46,61.55,4.81,13.46,22.12,11.54,5.77,30.77,11.54,76.93,23.08,0.54,1.04,40.39,59.62
5.66,9.43,20.75,11.32,4.72,35.85,12.26,76.41,23.58,0.5,1.06,35.84,64.15,4.67,14.02,21.5,12.15,6.54,30.84,10.28,77.57,22.43,0.56,1.07,40.19,59.81
6.67,9.52,21.9,10.48,3.81,35.24,12.38,77.14,22.86,0.51,1.05,38.09,61.91,3.77,13.21,21.7,12.26,7.55,31.13,10.38,77.36,22.64,0.54,1.06,38.68,61.32
7.41,8.33,22.22,10.19,5.56,34.26,12.04,77.78,22.23,0.52,1.08,37.96,62.05,5.5,12.84,21.1,11.93,6.42,30.28,11.93,76.14,23.86,0.56,1.09,39.44,60.56
5.93,8.47,19.49,11.02,9.32,33.05,12.71,76.26,23.73,0.53,1.18,33.89,66.1,9.32,12.71,20.34,12.71,5.93,29.66,9.32,77.96,22.03,0.65,1.18,42.37,57.62
